"","model","k","m","RR1","RR2"
"1","AD_256b_mp",1,1,0.28525641025641,0.28525641025641
"2","AD_256b_mp",2,2,0.522435897435897,0.432692307692308
"3","AD_256b_mp",3,3,0.669871794871795,0.512820512820513
"4","AD_256b_mp",4,4,0.78525641025641,0.598557692307692
"5","AD_256b_mp",5,5,0.875,0.655128205128205
"6","AD_256b_mp",6,6,0.935897435897436,0.697115384615385
"7","AD_256b_mp",7,7,0.971153846153846,0.717948717948718
"8","AD_256b_mp",8,8,0.987179487179487,0.739983974358974
"9","AD_256b_mp",9,9,0.990384615384615,0.762820512820513
"10","AD_256b_mp",10,10,0.993589743589744,0.782051282051282
"11","AD_nd_mp",1,1,0.28525641025641,0.28525641025641
"12","AD_nd_mp",2,2,0.522435897435897,0.458333333333333
"13","AD_nd_mp",3,3,0.663461538461538,0.521367521367521
"14","AD_nd_mp",4,4,0.778846153846154,0.602564102564103
"15","AD_nd_mp",5,5,0.871794871794872,0.655128205128205
"16","AD_nd_mp",6,6,0.932692307692308,0.697649572649573
"17","AD_nd_mp",7,7,0.971153846153846,0.720695970695971
"18","AD_nd_mp",8,8,0.987179487179487,0.743189102564103
"19","AD_nd_mp",9,9,0.990384615384615,0.763176638176638
"20","AD_nd_mp",10,10,0.993589743589744,0.782051282051282
"21","AD_512b_mc",1,1,0.28525641025641,0.28525641025641
"22","AD_512b_mc",2,2,0.525641025641026,0.434294871794872
"23","AD_512b_mc",3,3,0.669871794871795,0.525641025641026
"24","AD_512b_mc",4,4,0.782051282051282,0.600160256410256
"25","AD_512b_mc",5,5,0.875,0.655128205128205
"26","AD_512b_mc",6,6,0.935897435897436,0.697115384615385
"27","AD_512b_mc",7,7,0.971153846153846,0.716575091575092
"28","AD_512b_mc",8,8,0.987179487179487,0.731169871794872
"29","AD_512b_mc",9,9,0.990384615384615,0.760327635327635
"30","AD_512b_mc",10,10,0.993589743589744,0.786217948717949
"31","AD_nd_mc",1,1,0.282051282051282,0.282051282051282
"32","AD_nd_mc",2,2,0.525641025641026,0.403846153846154
"33","AD_nd_mc",3,3,0.669871794871795,0.498931623931624
"34","AD_nd_mc",4,4,0.78525641025641,0.598557692307692
"35","AD_nd_mc",5,5,0.878205128205128,0.655128205128205
"36","AD_nd_mc",6,6,0.939102564102564,0.696581196581197
"37","AD_nd_mc",7,7,0.974358974358974,0.715659340659341
"38","AD_nd_mc",8,8,0.990384615384615,0.73036858974359
"39","AD_nd_mc",9,9,0.993589743589744,0.748931623931624
"40","AD_nd_mc",10,10,0.996794871794872,0.770192307692308
"41","AD_256b_md",1,1,0.00320512820512821,0.00320512820512821
"42","AD_256b_md",2,2,0.00320512820512821,0.00320512820512821
"43","AD_256b_md",3,3,0.00320512820512821,0.00320512820512821
"44","AD_256b_md",4,4,0.00320512820512821,0.00560897435897436
"45","AD_256b_md",5,5,0.00320512820512821,0.0102564102564103
"46","AD_256b_md",6,6,0.00320512820512821,0.0122863247863248
"47","AD_256b_md",7,7,0.00961538461538462,0.0146520146520147
"48","AD_256b_md",8,8,0.0128205128205128,0.0172275641025641
"49","AD_256b_md",9,9,0.0128205128205128,0.0195868945868946
"50","AD_256b_md",10,10,0.0128205128205128,0.021474358974359
"51","AD_nd_md",1,1,0,0
"52","AD_nd_md",2,2,0,0.00480769230769231
"53","AD_nd_md",3,3,0,0.00534188034188034
"54","AD_nd_md",4,4,0,0.00560897435897436
"55","AD_nd_md",5,5,0,0.0121794871794872
"56","AD_nd_md",6,6,0,0.015491452991453
"57","AD_nd_md",7,7,0,0.0155677655677656
"58","AD_nd_md",8,8,0.00320512820512821,0.0204326923076923
"59","AD_nd_md",9,9,0.00320512820512821,0.0242165242165242
"60","AD_nd_md",10,10,0.00320512820512821,0.0317307692307692
